date,DISTSIM_BENCH.active_cores,DISTSIM_BENCH.benchmark_grp,DISTSIM_BENCH.benchmark_id,DISTSIM_BENCH.benchtime_ms,DISTSIM_BENCH.dataprocessed,DISTSIM_BENCH.host_CPI,DISTSIM_BENCH.host_L2_BW,DISTSIM_BENCH.host_L3_BW,DISTSIM_BENCH.host_L3_SYSTEM_BW,DISTSIM_BENCH.host_MEM_BW,DISTSIM_BENCH.host_context_switch,DISTSIM_BENCH.host_cpupercent,DISTSIM_BENCH.host_disk_io,DISTSIM_BENCH.host_disk_io_time,DISTSIM_BENCH.host_disk_weighted_io_time,DISTSIM_BENCH.host_memory,DISTSIM_BENCH.host_network,DISTSIM_BENCH.host_pagefault,DISTSIM_BENCH.host_sched_iowait,DISTSIM_BENCH.host_sched_wait,DISTSIM_BENCH.interference,DISTSIM_BENCH.interference-0,DISTSIM_BENCH.interference-1,DISTSIM_BENCH.interval,DISTSIM_BENCH.latency,DISTSIM_BENCH.latency90,DISTSIM_BENCH.memory_limit,DISTSIM_BENCH.process_dur_ms,DISTSIM_BENCH.throughput,DISTSIM_BENCH.total_dur_ms,DISTSIM_BENCH.web_IPC,DISTSIM_BENCH.web_cpupercent,DISTSIM_BENCH.web_memory,DISTSIM_BENCH.weighted_latency
33:16.5,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23054166000,11527080800,883.722,632.246,38928.744,91.082,85.121,35.6,608.804,3709.752,304.245,0,0,0,,,,5,0.417,0.461,32,49.815,7,60.583,,,,0.208
33:22.0,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23055096000,11527592800,1132.476,883.954,37853.792,92.752,175.519,60,1147.191,3705.242,376.532,0,0,0,,,,5,0.418,0.447,32,40.984,7,52.988,,,,0.209
33:27.5,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,22990882900,11495436000,1109.086,860.059,36333.377,92.349,15.2,24.8,38.4,3753.109,366.027,0,0,0,,,,5,0.414,0.425,32,49.472,7,61.036,,,,0.207
33:32.9,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,22926338200,11463167800,1092.08,848.405,40457.802,92.308,615.041,76.8,2969.61,3725.035,376.63,0,0,0,,,,5,0.41,0.425,32,39.462,7,45.269,,,,0.205
33:38.0,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23055351200,11527689600,1116.059,864.701,39013.812,80.045,15.998,70.392,206.376,3769.195,444.264,0,0,0,,,,5,0.387,0.412,32,49.66,7,59.479,,,,0.194
33:43.5,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23055376600,11527683400,531.472,342.255,41079.4,33.882,16.801,20.002,23.202,3769.395,85.405,0,0,0,,,,5,0.371,0.398,32,42.021,8,53.666,,,,0.185
33:49.1,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23055376600,11527683400,531.472,342.255,41068.456,24.875,156.323,44.001,1016.82,3733.754,53.701,0,0,0,,,,5,0.356,0.39,32,59.575,8,70.461,,,,0.178
33:54.5,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23053245400,11526616800,441.165,269.344,40477.663,25.025,23.68,33.6,52,3731.234,52.644,0,0,0,,,,5,0.362,0.391,32,49.805,8,58.405,,,,0.181
34:00.2,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23054369800,11527179800,449.917,273.947,39722.954,26.42,839.207,87.201,4000.836,3728.539,41.422,0,0,0,,,,5,0.348,0.37,32,43.571,8,55.238,,,,0.174
34:05.6,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23055262600,11527618200,454.017,278.023,41741.269,24.623,13.92,16.8,20,3769.902,48.98,0,0,0,,,,5,0.35,0.372,32,41.271,8,51.639,,,,0.175
34:11.1,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23055262600,11527618200,454.017,278.023,40023.127,25.989,8.8,10.4,12.8,3701.102,49.335,0,0,0,,,,5,0.352,0.371,32,42.891,8,53.887,,,,0.176
34:16.6,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23054842200,11527409000,451.295,280.897,39959.36,23.919,15.359,23.998,31.197,3737.586,43.817,0,0,0,,,,5,0.362,0.403,32,43.127,8,52.1,,,,0.181
34:22.0,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23055148600,11527561200,429.795,272.441,41440.412,24.635,12.959,20.799,23.998,3734.879,44.311,0,0,0,,,,5,0.362,0.409,32,39.453,8,45.784,,,,0.181
34:27.5,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23054924600,11527446600,449.848,278.033,39498.029,22.522,47.528,38.406,834.534,3697.355,46.893,0,0,0,,,,5,0.349,0.373,32,91.448,8,102.88,,,,0.174
34:33.0,2,1553790712,parsec.dedup,1.55379E+12,FALSE,1.234,1903.955,396.345,405.853,251.237,40071.114,24.083,23.04,26.4,405.593,3735.359,44.181,0,0,0,,,,5,0.361,0.398,32,50.945,8,61.052,,,,0.18
34:38.4,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23055057000,11527514200,423.688,248.628,42222.585,22.711,436.166,60.001,1184.014,3740.16,31.004,0,0,0,,,,5,0.362,0.418,32,30.667,8,36.703,,,,0.181
34:43.7,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23054861200,11527423400,412.13,234.655,39004.155,20.274,9.12,16,18.4,3703.473,35.574,0,0,0,,,,5,0.35,0.371,32,40.674,8,51.768,,,,0.175
34:49.4,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23054861200,11527423400,412.13,234.655,40553.627,19.92,12.8,20.801,24.801,3738.41,31.214,0,0,0,,,,5,0.356,0.396,32,45.152,8,53.486,,,,0.178
34:54.9,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23055195200,11527594200,394.897,237.029,40029.553,21.136,841.892,75.997,2622.309,3740.844,32.539,0,0,0,,,,5,0.347,0.372,32,45.15,8,54.518,,,,0.173
34:59.9,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23054918000,11527454400,406.908,238.218,39036.598,20.319,12.96,16.8,21.6,3702.652,32.755,0,0,0,,,,5,0.356,0.374,32,40.825,7,50.494,,,,0.178
35:05.7,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23055286600,11527646600,380.753,227.419,37679.029,19.12,9.28,16.8,18.4,3702.316,31.345,0,0,0,,,,5,0.361,0.403,32,42.071,8,50.162,,,,0.18
35:10.8,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23055286600,11527646600,380.753,227.419,38441.897,20.279,12.96,16,17.6,3739.063,32.361,0,0,0,,,,5,0.376,0.407,32,38.361,7,49.587,,,,0.188
35:16.3,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23055199200,11527593200,392.977,241.407,36824.673,21.387,849.135,72.001,2649.648,3735.668,36.148,0,0,0,,,,5,0.351,0.374,32,43.07,8,53.609,,,,0.175
35:21.6,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23055282200,11527628400,393.423,216.548,37968.701,18.206,20.16,25.6,31.2,3738.258,24.155,0,0,0,,,,5,0.346,0.362,32,45.009,8,50.721,,,,0.173
35:27.1,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23054873000,11527418200,395.342,226.912,40999.762,18.599,13.12,17.6,18.4,3741.426,27.518,0,0,0,,,,5,0.356,0.374,32,50.611,8,56.397,,,,0.178
35:32.5,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23055045400,11527510100,388.996,223.22,39757.22,20.084,52.48,69.6,1167.998,3703.008,28.925,0,0,0,,,,5,0.352,0.389,32,56.807,8,70.743,,,,0.176
35:38.1,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23055232400,11527594400,398.118,231.937,40367.468,20.618,457.602,70.4,2638.417,3736.793,29.944,0,0,0,,,,5,0.359,0.392,32,45.356,8,54.082,,,,0.179
35:43.1,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23055232400,11527594400,398.118,231.937,39195.043,17.16,10.88,13.6,14.4,3738.891,24.684,0,0,0,,,,5,0.364,0.426,32,42.677,7,55.825,,,,0.182
35:48.7,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23055171800,11527573400,383.538,224.024,36689.185,18.644,12.8,14.4,16,3736.969,25.81,0,0,0,,,,5,0.349,0.371,32,46.347,8,57.198,,,,0.174
35:54.0,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23055152000,11527565200,380.248,220.425,40612.506,19.473,459.682,68.8,1949.612,3739.684,29.714,0,0,0,,,,5,0.349,0.394,32,44.578,8,59.184,,,,0.174
35:59.4,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23021203800,11510586800,394.545,218.292,36670.739,18.217,14.4,20.8,23.2,3732.164,27.235,0,0,0,,,,5,0.34,0.363,32,47.602,8,62.546,,,,0.17
36:04.4,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23021203800,11510586800,394.545,218.292,41889.91,19.806,17.6,19.2,22.4,3740.34,25.154,0,0,0,,,,5,0.371,0.395,32,43.129,7,49.202,,,,0.185
36:10.0,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23054036600,11527015000,396.423,217.16,36704.126,18.699,838.743,69.602,3226.494,3739.707,27.374,0,0,0,,,,5,0.368,0.421,32,39.722,8,46.028,,,,0.184
36:15.4,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23055277800,11527626800,383.18,223.086,39494.893,19.693,19.2,27.199,34.399,3739.344,30.452,0,0,0,,,,5,0.345,0.37,32,31.364,8,36.716,,,,0.172
36:21.0,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23054941400,11527461800,387.306,224.332,36977.582,18.732,13.28,29.6,36,3705.637,26.943,0,0,0,,,,5,0.362,0.406,32,48.193,8,54.67,,,,0.181
36:26.6,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23054941400,11527461800,387.306,224.332,38272.923,20.282,465.915,60.8,1439.189,3735.938,28.97,0,0,0,,,,5,0.37,0.424,32,39.558,8,48.063,,,,0.185
36:32.0,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23054925400,11527455800,395.849,241.02,42077.719,19.302,14.56,21.601,26.401,3730.789,27.849,0,0,0,,,,5,0.354,0.377,32,46.497,8,52.78,,,,0.177
36:37.5,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23050779000,11525377700,391.55,224.844,39043.741,18.048,10.88,17.6,21.6,3709.953,29.61,0,0,0,,,,5,0.348,0.367,32,35.325,8,41.95,,,,0.174
36:43.1,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23054463600,11527226200,387.911,219.27,37861.882,18.588,839.053,74.401,3196.851,3740.469,26.186,0,0,0,,,,5,0.368,0.406,32,45.966,8,53.927,,,,0.184
36:48.6,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23040429400,11520201800,378.689,220.579,37916.107,18.802,14.24,22.4,32,3738.813,22.14,0,0,0,,,,5,0.348,0.377,32,41.12,8,47.04,,,,0.174
36:54.2,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23055131800,11527548000,381.254,216.186,39008.851,19.099,12.8,18.4,22.4,3743.059,28.2,0,0,0,,,,5,0.354,0.389,32,115.073,8,125.013,,,,0.177
36:59.5,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23055240800,11527617000,400.717,227.126,39470.176,18.401,9.12,19.2,22.4,3705.02,31.906,0,0,0,,,,5,0.359,0.384,32,35.044,8,41.759,,,,0.179
37:05.0,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23055240800,11527617000,400.717,227.126,40935.324,20.681,488.964,74.401,2086.423,3742.805,34.125,0,0,0,,,,5,0.357,0.396,32,44.669,8,54.921,,,,0.178
37:10.4,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23055065000,11527524800,419.024,244.303,39407.158,20.799,14.72,27.2,39.199,3745.621,35.972,0,0,0,,,,5,0.346,0.373,32,53.988,8,67.201,,,,0.173
37:15.8,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23055273400,11527642800,395.67,226.797,39256.445,19.39,12.96,16,17.6,3706.973,35.162,0,0,0,,,,5,0.345,0.36,32,41.68,8,61.774,,,,0.172
37:21.4,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23054871200,11527425600,394.032,234.042,39958.116,20.567,435.521,61.999,1835.185,3745.652,34.724,0,0,0,,,,5,0.355,0.389,32,60.172,8,71.733,,,,0.177
37:26.8,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23054871200,11527425600,394.032,234.042,38920.65,21.238,14.56,19.201,25.601,3706.648,25.505,0,0,0,,,,5,0.361,0.399,32,45.162,8,55.609,,,,0.18
37:32.4,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23038004200,11518994600,405.77,239.303,37628.407,21.083,13.439,30.399,31.999,3710.867,33.59,0,0,0,,,,5,0.362,0.394,32,34.181,8,44.359,,,,0.181
37:37.8,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23055260200,11527621000,407.268,232.774,40603.25,20.892,9.44,14.4,16,3739.672,38.96,0,0,0,,,,5,0.352,0.373,32,40.628,8,49.773,,,,0.176
37:43.3,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23055260200,11527621000,407.268,232.774,39631.086,21.82,53.6,47.2,521.603,3706.352,40.854,0,0,0,,,,5,0.354,0.375,32,50.852,8,60.879,,,,0.177
37:48.8,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23055242000,11527600800,406.892,249.328,39157.934,22.402,15.679,31.999,62.397,3706.309,36.545,0,0,0,,,,5,0.351,0.362,32,40.858,8,50.87,,,,0.175
37:54.6,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23055298400,11527642600,390.829,224.094,37339.449,20.087,17.92,31.201,62.401,3737.906,37.422,0,0,0,,,,5,0.368,0.408,32,43.44,8,53.173,,,,0.184
38:00.1,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23055268600,11527623800,413.443,253.064,39787.011,21.979,830.086,69.6,2647.997,3744.199,40.568,0,0,0,,,,5,0.362,0.4,32,67.478,8,79.739,,,,0.181
38:05.5,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23055268600,11527623800,413.443,253.064,41819.221,22.181,13.12,22.4,26.4,3748.582,41.555,0,0,0,,,,5,0.367,0.407,32,30.311,8,35.636,,,,0.183
38:11.0,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23055017200,11527497600,426.003,237.343,40469.696,23.193,13.12,21.601,24.801,3706.738,47.721,0,0,0,,,,5,0.352,0.375,32,48.807,8,59.393,,,,0.176
38:16.5,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23053905400,11526950800,435.923,266.409,40696.394,26.275,439.994,58.399,2007.176,3739.301,46.548,0,0,0,,,,5,0.356,0.374,32,50.071,8,60.181,,,,0.178
38:22.0,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23053905400,11526950800,435.923,266.409,40997.175,28.129,19.36,33.6,39.2,3706.23,64.892,0,0,0,,,,5,0.37,0.398,32,49.158,8,59.929,,,,0.185
38:27.2,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23055137300,11527562600,456.402,278.876,37963.005,27.699,13.12,20,26.4,3746.355,62.165,0,0,0,,,,5,0.396,0.426,32,55.3,7,75.548,,,,0.198
38:32.7,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23054977200,11527477000,475.58,292.103,40869.144,29.865,12.8,21.6,28.001,3706.52,63.684,0,0,0,,,,5,0.362,0.385,32,46.637,8,55.877,,,,0.181
38:37.8,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23054977200,11527477000,475.58,292.103,39839.11,28.5,80.48,80.8,1438.403,3705.785,66.659,0,0,0,,,,5,0.357,0.39,32,39.689,7,48.956,,,,0.178
38:43.2,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23055224600,11527601000,450.581,278.918,39607.98,28.235,486.559,70.4,1353.598,3705.531,63.404,0,0,0,,,,5,0.354,0.373,32,48.757,8,54.462,,,,0.177
38:48.8,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23055156800,11527578600,492.574,298.95,39986.048,31.8,14.24,22.4,30.4,3705.043,78.785,0,0,0,,,,5,0.364,0.387,32,43.912,8,50.124,,,,0.182
38:54.4,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23055036200,11527502800,493.765,305.131,41182.746,32.934,18.24,24.8,28.8,3739.879,63.713,0,0,0,,,,5,0.369,0.378,32,41.491,8,49.789,,,,0.184
38:59.5,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23055036200,11527502800,493.765,305.131,41945.16,34.09,865.754,74.399,4030.359,3746.297,83.632,0,0,0,,,,5,0.387,0.449,32,35.253,7,41.568,,,,0.194
39:04.9,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23053640800,11526804200,512.415,322.742,39264.028,33.583,14.08,28,44,3744.297,87.542,0,0,0,,,,5,0.357,0.377,32,41.021,8,50.842,,,,0.178
39:10.3,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23042191800,11521087800,533.721,332.209,42718.406,38.265,13.12,16,17.6,3709.234,99.109,0,0,0,,,,5,0.358,0.379,32,32.509,8,38.206,,,,0.179
39:15.5,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23055265600,11527626800,527.859,324.606,37792.76,38.121,9.6,16.8,28,3711.066,97.094,0,0,0,,,,5,0.386,0.409,32,33.84,7,43.814,,,,0.193
39:21.2,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23055265600,11527626800,527.859,324.606,39867.163,42.577,898.73,74.401,4555.254,3707.16,126.94,0,0,0,,,,5,0.375,0.402,32,69.808,8,82.041,,,,0.188
39:26.3,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23054893600,11527442600,604.937,384.031,39542.728,40.623,15.2,16.799,21.599,3708.781,118.352,0,0,0,,,,5,0.378,0.404,32,46.797,7,58.601,,,,0.189
39:32.0,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23054461400,11527218600,620.933,394.831,38806.792,49.5,11.36,20.8,21.601,3706.922,151.15,0,0,0,,,,5,0.374,0.391,32,45.967,8,55.164,,,,0.187
39:37.6,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23055244000,11527617800,650.265,434.294,40548.238,51.201,140.479,69.599,1504.788,3707.66,131.59,0,0,0,,,,5,0.371,0.397,32,33.175,8,40.859,,,,0.185
39:42.6,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23055017600,11527507400,680.624,453.033,39707.387,51.888,25.12,29.6,48,3707.918,161.975,0,0,0,,,,5,0.378,0.388,32,36.545,7,43.971,,,,0.189
39:47.7,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23055264400,11527603600,665.729,439.414,38414.172,53.36,514.711,83.198,1873.566,3709.648,173.495,0,0,0,,,,5,0.394,0.428,32,48.392,7,54.835,,,,0.197
39:53.0,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23055264400,11527603600,665.729,439.414,38231.999,54.209,16.64,31.2,38.4,3750.855,172.154,0,0,0,,,,5,0.398,0.455,32,45.466,7,53.928,,,,0.199
39:58.2,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23055376000,11527693400,689.812,462.165,36968.594,60.659,12.64,20,21.6,3752.09,206.512,0,0,0,,,,5,0.38,0.391,32,39.63,7,49.775,,,,0.19
40:03.5,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23055361600,11527677400,795.041,541.935,38283.458,66.248,936.303,75.199,3446.346,3710.684,226.105,0,0,0,,,,5,0.397,0.427,32,32.265,7,37.64,,,,0.198
40:09.0,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23038695800,11519380800,896.727,653.944,34616.353,77.68,20.48,22.4,27.2,3710.348,280.761,0,0,0,,,,5,0.425,0.465,32,37.874,7,43.286,,,,0.212
40:14.5,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23038695800,11519380800,896.727,653.944,40760.131,88.956,24.48,19.2,20.8,3752.117,391.826,0,0,0,,,,5,0.412,0.425,32,41.816,7,50.766,,,,0.206
40:20.0,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23053695800,11526844200,1048.414,769.672,37147.016,88.019,24.96,30.4,32,3714.395,294.481,0,0,0,,,,5,0.402,0.414,32,38.908,7,49.202,,,,0.201
40:25.4,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23035584400,11517778200,1032.103,775.401,39961.822,88.265,232.162,59.2,1056.804,3753.113,347.722,0,0,0,,,,5,0.412,0.425,32,42.395,7,52.773,,,,0.206
40:30.8,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23055311600,11527648600,1051.47,785.478,38365.256,89.844,13.6,20.8,24.8,3717.047,322.251,0,0,0,,,,5,0.399,0.406,32,44.187,7,60.215,,,,0.2
40:36.2,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23055311600,11527648600,1051.47,785.478,39904.786,90.696,117.12,31.2,171.199,3758.125,408.32,0,0,0,,,,5,0.408,0.429,32,52.523,7,59.302,,,,0.204
40:41.6,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23055074400,11527545800,1072.733,817.075,38726.98,86.32,235.839,78.4,767.996,3751.117,326.42,0,0,0,,,,5,0.409,0.437,32,38.36,7,49.483,,,,0.204
40:47.1,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23055068300,11527509900,1050.531,778.278,41501.828,87.618,12.16,20.8,32,3720.328,387.162,0,0,0,,,,5,0.418,0.448,32,43.884,7,54.027,,,,0.209
40:52.6,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23055304200,11527638800,1055.141,781.55,37684.065,89.851,971.012,93.597,2899.918,3720.453,372.212,0,0,0,,,,5,0.404,0.427,32,45.03,7,55.428,,,,0.202
40:58.0,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23049268400,11524644000,1058.959,802.132,40344.739,92.149,16.8,20.8,23.2,3759.5,365.179,0,0,0,,,,5,0.404,0.414,32,35.237,7,41.639,,,,0.202
41:03.7,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23055283800,11527639000,1082.745,831.349,36321.476,90.387,12.8,19.2,21.6,3762.797,289.177,0,0,0,,,,5,0.438,0.482,32,36.575,7,41.878,,,,0.219
41:09.4,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23055283800,11527639000,1082.745,831.349,37696.048,91.36,18.4,24.8,26.4,3719.613,425.665,0,0,0,,,,5,0.424,0.457,32,37.089,7,43.667,,,,0.212
41:14.9,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23055349000,11527652600,1113.765,845.242,36523.483,91.482,320.485,64.801,857.614,3760.008,379.843,0,0,0,,,,5,0.423,0.483,32,39.608,7,45.43,,,,0.211
41:20.4,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23055158000,11527578800,1121.383,864.863,38898.41,92.826,81.597,39.199,155.996,3761.18,301.779,0,0,0,,,,5,0.405,0.413,32,32.123,7,37.264,,,,0.202
41:26.1,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23051020200,11525517400,1112.057,858.362,38553.701,92.169,12.48,19.2,20,3724.207,412.57,0,0,0,,,,5,0.427,0.471,32,42.466,7,51.976,,,,0.213
41:31.7,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23051020200,11525517400,1112.057,858.362,38608.283,92.056,111.52,54.4,336.001,3759.289,394.726,0,0,0,,,,5,0.406,0.425,32,44.427,7,54.553,,,,0.203
41:37.4,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23017541500,11508767600,1094.107,842.87,40078.932,93.563,18.08,20,20.8,3758.637,394.278,0,0,0,,,,5,0.424,0.469,32,53.502,7,63.559,,,,0.212
41:42.9,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23055445800,11527732400,1095.068,831.198,39745.044,92.322,192.163,72.001,1415.225,3726.801,393.497,0,0,0,,,,5,0.408,0.425,32,42.879,7,53.186,,,,0.204
